subset,model,RMSE,MAE,PHM08,train_time_s,n
FD001,Mean,41.94,34.83,33629.2,0.0,100
FD001,Ridge,17.77,14.11,677.4,0.01,100
FD001,RandomForest,17.05,12.17,922.6,80.4,100
FD001,XGBoost,15.66,11.53,553.3,12.3,100
FD001,LightGBM,15.93,11.46,655.1,15.2,100
FD002,Mean,44.93,38.14,153229.3,0.0,259
FD002,Ridge,18.04,14.43,14380.6,0.02,259
FD002,XGBoost,15.14,10.81,11045.1,19.1,259
FD002,LightGBM,14.91,10.56,11489.1,23.6,259
FD003,Mean,43.7,36.44,57949.6,0.0,100
FD003,Ridge,18.16,15.01,914.9,0.01,100
FD003,RandomForest,15.32,10.47,841.0,101.1,100
FD003,XGBoost,15.01,10.31,943.2,12.6,100
FD003,LightGBM,14.47,9.69,898.3,15.8,100
FD004,Mean,45.57,38.06,189682.8,0.0,248
FD004,Ridge,21.36,17.41,8086.2,1.2,248
FD004,XGBoost,16.63,12.08,4879.1,19.3,248
FD004,LightGBM,16.5,11.95,4892.5,23.9,248
