feature,importance
sensor_14_mean_w20,875
sensor_9_mean_w20,750
sensor_17_std_w20,634
sensor_9_std_w20,616
sensor_14_std_w20,609
sensor_3_mean_w20,607
sensor_13_std_w20,607
sensor_15_std_w20,597
sensor_2_std_w20,592
sensor_4_std_w20,580
sensor_3_std_w20,578
sensor_8_std_w20,576
sensor_12_trend_w20,567
sensor_7_std_w20,565
sensor_14_trend_w20,552
sensor_12_std_w20,544
sensor_13_mean_w20,525
sensor_20_mean_w20,524
sensor_8_mean_w20,520
sensor_21_std_w20,517
sensor_11_std_w20,514
sensor_8_trend_w20,504
sensor_2_mean_w20,500
sensor_20_std_w20,496
sensor_21_mean_w20,488
sensor_11_trend_w20,488
sensor_4_mean_w20,480
sensor_15_mean_w20,474
sensor_4_trend_w20,465
sensor_7_trend_w20,455
sensor_13_trend_w20,454
sensor_7_mean_w20,453
sensor_9_trend_w20,441
sensor_12_mean_w20,419
sensor_17_mean_w20,411
sensor_11_mean_w20,407
sensor_9_mean_w5,401
sensor_15_trend_w20,380
sensor_14_mean_w5,373
sensor_17_trend_w20,369
sensor_20_trend_w20,348
sensor_3_trend_w20,342
sensor_2_trend_w20,332
sensor_21_trend_w20,328
sensor_4_mean_w5,288
sensor_11_mean_w5,269
sensor_21_mean_w5,264
sensor_3_mean_w5,262
sensor_20_mean_w5,261
sensor_7_std_w5,256
sensor_21_std_w5,255
sensor_15_mean_w5,255
sensor_2_mean_w5,251
sensor_15_std_w5,250
sensor_13_std_w5,248
sensor_2_std_w5,247
sensor_9_std_w5,234
sensor_11_std_w5,226
sensor_20_std_w5,226
sensor_4_std_w5,224
sensor_14_std_w5,222
sensor_8_std_w5,220
sensor_7_mean_w5,213
sensor_3_std_w5,212
sensor_12_mean_w5,211
sensor_12_std_w5,206
sensor_13_mean_w5,192
sensor_8_mean_w5,165
sensor_17_mean_w5,141
sensor_9,139
sensor_11_trend_w5,134
sensor_15_trend_w5,132
sensor_4_trend_w5,127
sensor_7_trend_w5,126
sensor_9_trend_w5,124
sensor_17_std_w5,124
sensor_12_trend_w5,121
sensor_14,120
sensor_14_trend_w5,119
sensor_15,107
sensor_7,105
op_setting_1,101
sensor_20_trend_w5,100
sensor_3,99
sensor_2_trend_w5,99
sensor_4,97
sensor_21,94
sensor_2,91
sensor_17_trend_w5,90
sensor_3_trend_w5,87
sensor_12,86
sensor_8_trend_w5,85
sensor_21_trend_w5,78
sensor_13_trend_w5,75
sensor_20,72
sensor_11,67
sensor_13,55
op_setting_2,38
sensor_8,34
sensor_17,19
sensor_16,0
sensor_10,0
sensor_18,0
sensor_19,0
sensor_1,0
op_setting_3,0
sensor_5,0
sensor_6,0
